,product_name,Accuracy_Score,uses_cov
404,P1641,0.838765235345968,yes
405,P1642,0.7643478136293149,no
406,P1643,0.6557120013031272,no
407,P1645,0.7601372882675589,no
408,P1647,0.750052959105357,no
409,P1650,0.8794723251253725,no
410,P1651,0.8371358900299938,yes
411,P1652,0.4663427644685856,no
412,P1654,0.5131235100163178,no
413,P1656,0.7406757901510789,no
414,P1659,0.7873724884733926,no
415,P1661,0.835602720010721,no
416,P1662,0.7790839059108134,no
417,P1663,0.5186738973021316,no
418,P1664,0.5180514357083819,no
419,P1668,0.7781883635611665,yes
420,P1669,0.7574315978038342,no
421,P1673,0.4814091426909094,no
422,P1674,0.7182816292222166,no
423,P1676,0.0,no
424,P1678,8.333291666717813e-07,no
425,P1680,0.0,no
426,P1682,0.5042740294272522,no
427,P1683,0.0,no
428,P1684,0.4800379895865109,no
429,P1685,0.7093389439900688,no
430,P1687,0.4734583370988542,no
431,P1688,0.7338514344302538,no
432,P1689,0.0,no
433,P1691,0.7460452337161925,no
434,P1692,0.8170669644069145,no
435,P1701,0.7057238680946787,no
436,P1702,0.0,no
437,P1703,0.6910901505894769,no
438,P1705,0.33098587355508435,no
439,P1707,0.012246925980071599,no
440,P1709,0.6332968690133554,no
441,P1710,0.6615508784299517,no
442,P1715,0.05159859887286411,no
443,P1716,0.7495680969776,no
444,P1717,0.737123824353352,no
445,P1718,0.4079009023527014,no
446,P1721,0.4392205795980012,no
447,P1723,0.7364436417990081,no
448,P1724,0.7069569745011481,no
449,P1725,0.5398341514415029,no
450,P1726,0.5506850107719735,no
451,P1727,0.7030040105480565,no
452,P1728,0.19592041737398047,no
453,P1729,1.937983934441334e-07,no
454,P1733,1.9841267295817033e-08,no
455,P1743,1.548215211588655e-08,no
456,P1746,0.0,no
457,P1752,0.0,no
458,P1753,0.0,no
459,P1754,0.8094928543563755,no
460,P1757,0.4770628138764258,no
461,P1760,0.7263235636345715,no
462,P1762,0.3463306022426408,no
463,P1763,0.5289178868191093,no
464,P1766,1.785714232038771e-08,no
465,P1767,0.6197558018385366,no
466,P1770,0.0,no
467,P1771,0.7331803073352722,no
468,P1772,0.0,no
469,P1773,0.881549855748826,no
470,P1774,0.8319090351155347,no
471,P1775,0.0,no
472,P1777,0.0,no
473,P1778,0.7294370809754728,no
474,P1779,0.7801630993717256,no
475,P1780,0.8318918419031311,no
476,P1781,0.6137521882501467,no
477,P1782,0.8545489694964572,no
478,P1783,0.0022823109100335026,yes
479,P1785,0.0,no
480,P1786,0.5092780709414886,no
481,P1787,0.8204843963460674,no
482,P1788,0.14848890646958046,no
483,P1789,0.378209146923962,no
484,P1790,0.7502589514230735,yes
485,P1791,0.7342715171332588,no
486,P1792,0.9003564612494205,no
487,P1793,0.6084103605069977,no
488,P1794,0.007141667328549595,no
489,P1798,0.0,no
490,P1799,0.0,no
491,P1800,0.2619703455291694,no
492,P1801,0.5215192011532255,no
493,P1802,0.0,no
494,P1805,0.8479890500726146,no
495,P1806,0.8737312933362147,no
496,P1807,0.7149499089729232,no
497,P1808,0.8399573780977165,no
498,P1810,0.0,no
499,P1813,0.8445500578881592,no
500,P1814,0.6498156790176979,no
501,P1815,0.7501820802431709,no
502,P1817,0.3327680512913874,no
503,P1818,0.6689475672812824,no
504,P1820,0.7994744833163998,no
505,P1821,0.5777520882524045,no
