,product_name,Accuracy_Score,Val_Score,uses_cov
337,P1543,0.0,0.00023013157700957354,no
338,P1544,0.10962566844849064,0.07802093244460373,no
339,P1545,0.3744420280775549,0.02528632203071901,no
340,P1546,0.0,0.00019243321982509443,no
341,P1547,0.21364681801226482,0.02691964996273022,no
342,P1548,0.7482945837567225,0.4756636965736314,no
343,P1549,0.0,0.0,no
344,P1551,0.796083223248906,0.6931393954368186,no
345,P1552,0.0,0.0,no
346,P1560,0.6208451720672443,0.6944914833781758,no
347,P1563,0.7226728463599912,0.6568902089790151,no
348,P1566,2.418212552424137e-08,2.763809958672425e-09,no
349,P1567,0.5517482328761101,0.11868277208128575,no
350,P1569,0.5786605553600708,0.6405733047475151,no
351,P1571,0.8936986961354233,0.6043549169421936,no
352,P1572,0.8741886568811444,0.5645475514657821,no
353,P1573,0.7929131132894762,0.7190388758375245,no
354,P1574,0.5224548837080706,0.2541026031868291,no
355,P1577,0.8014334994863967,0.7504752130715656,no
356,P1578,0.7380094718360385,0.4760732561979457,no
357,P1579,0.8645006750767006,0.8165108140418283,no
358,P1580,0.908367170182389,0.7974483951447876,no
359,P1581,0.6601258069515591,0.29379495419664836,no
360,P1582,0.6200131572832026,0.7404435765888073,no
361,P1583,0.7867409179582651,0.786946418886507,no
362,P1584,0.6895978728238796,0.6229419629512408,no
363,P1587,0.8826670035977991,0.8151097841305205,no
364,P1588,0.8964094645909191,0.843325526082536,no
365,P1590,0.8833781917067757,0.7751483550759727,no
366,P1591,0.8578975777016619,0.7552520166142096,no
367,P1592,0.5366554496967024,0.5007130349067264,no
368,P1593,0.8265248492173979,0.735101818086793,no
369,P1594,0.6764664098433463,0.7089044453711922,no
370,P1595,0.9086630066799423,0.8548416665720717,no
371,P1596,0.6524030260668721,0.506931401011195,yes
372,P1597,0.7578965572191113,0.5696832700752368,no
373,P1598,0.6897034914256166,0.5677043178384231,no
374,P1599,0.812588892911351,0.7805850905774456,no
375,P1600,0.8625417801615348,0.7574298018590302,no
376,P1601,0.730913547924118,0.421289662471224,no
377,P1603,0.6081734207866143,0.48114859038218705,no
378,P1604,0.4564466120933486,0.5503372626953129,no
379,P1605,0.7818101021774186,0.7700507362546807,no
380,P1606,0.850304001496563,0.7276725847591332,no
381,P1607,0.6164285660140816,0.28916285362729643,no
382,P1608,0.8089855675577893,0.8473570700247135,no
383,P1609,0.8433966922373584,0.8592697827694366,no
384,P1610,3.06372538450006e-08,1.3748013616421417e-08,no
385,P1611,0.8755148870627228,0.7320944622080687,no
386,P1612,0.7596957670999146,0.8012315790157889,no
387,P1613,0.7138398162955901,0.6903681803616408,no
388,P1614,0.41356797378865906,0.26024068340628204,no
389,P1615,0.8506122825948272,0.7548184724459471,yes
390,P1616,0.6353866568508191,0.7291497376627147,no
391,P1617,0.7321035617200327,0.6118858440659195,no
392,P1618,0.22875402990406046,0.054113932421937405,no
393,P1619,0.8539677736925356,0.655498810380583,no
394,P1620,0.818697021014649,0.7333243476351732,no
395,P1624,0.0,1.86011872571612e-08,no
396,P1625,0.23200699849787876,0.44649994314852104,no
397,P1626,0.452759222027022,0.46655789415950555,no
398,P1628,0.0,0.0,no
399,P1630,0.6352898460714924,0.8370966080678796,no
400,P1631,0.19566452841673787,0.005377589599482202,no
401,P1637,0.673585586037625,0.5322127610374745,no
402,P1638,0.8958336195372425,0.686215721071747,no
403,P1640,0.6194683079633978,0.3286891892149193,no
404,P1641,0.8480674203243891,0.5577602883563737,no
405,P1642,0.7794224797058649,0.6284050088366322,no
406,P1643,0.3836351895914203,0.0766239243432082,no
407,P1645,0.620168174589566,0.39394144391867014,no
408,P1647,0.8276034439111009,0.7046422538330097,no
409,P1650,0.6590032808956932,0.49132875330708403,no
410,P1651,0.9150445780092483,0.8092608947667171,no
411,P1652,0.7141954532539412,0.363075204979437,no
412,P1654,0.36144603083608884,0.13247136044373164,no
413,P1656,0.9445818006894383,0.536768303177372,no
414,P1659,0.7197031978557413,0.6652166028236892,no
415,P1661,0.858021339674854,0.7473940000575681,no
416,P1662,1.1921792886226967e-08,1.0864316557501752e-08,no
417,P1663,0.21948838117555147,0.004565601600645897,no
418,P1664,0.46783234960564735,0.4457931838470033,no
419,P1668,0.35843574170269965,0.6130149035785554,yes
420,P1669,0.8963363672545004,0.7943335976729642,no
421,P1673,0.5063521465234195,0.507439054416915,no
422,P1674,0.7598619389469806,0.6883233525658764,no
423,P1676,0.0,0.0,no
424,P1678,0.0,1.0416617839403841e-06,no
425,P1680,0.0,0.0,no
426,P1682,0.6706014173917478,0.7127476952578755,no
427,P1683,0.0,0.0,no
428,P1684,4.295532529674517e-08,1.927009185553885e-08,no
429,P1685,0.7187468727199369,0.4459673559760923,no
430,P1687,0.02856544445978637,0.010257673275588575,no
431,P1688,0.6635791830882914,0.5656894677190842,no
432,P1689,0.0,0.0,no
433,P1691,0.7452022036441469,0.6785797703934462,no
434,P1692,0.8782447113493503,0.8175774052817779,no
435,P1701,0.3755628331777654,0.7461748467418264,no
436,P1702,0.0,0.0,no
437,P1703,0.8525674900984755,0.681166434615873,no
438,P1705,0.7140053131950066,0.46623720183635187,no
439,P1707,0.6123563067555509,0.08423821784394936,no
440,P1709,0.6445164380836214,0.5787631386967338,no
441,P1710,0.7997986462850488,0.6153576705863355,no
442,P1715,2.6129148766873556e-07,9.84887392752043e-08,no
443,P1716,0.6832097242630055,0.774665518450353,no
444,P1717,0.8561383845234954,0.6998153728031296,no
445,P1718,0.1559757342710495,0.039206494722574425,no
446,P1721,0.09446333171442456,0.007622874556928005,no
447,P1723,0.7327703553219725,0.43696472100862704,no
448,P1724,0.3473443327832493,0.12879870557018058,no
449,P1725,0.48814352736248656,0.23666127885250743,no
450,P1726,0.01627566004976666,0.013746178741727788,no
451,P1727,0.1868411058928826,0.09669947344790586,no
452,P1728,0.16270015326556797,0.035589621721646036,no
453,P1729,0.16226071101875494,0.1512567325041242,no
454,P1733,0.0,1.984126618559401e-08,no
455,P1743,0.0,2.052250192008387e-08,no
456,P1746,0.0,0.0,no
457,P1752,0.0,0.0,no
458,P1753,0.1263946032908727,0.0,no
459,P1754,0.7795658354704815,0.5813662195798941,no
460,P1757,0.44760299629082323,0.4780908367640354,no
461,P1760,0.5406932362712558,0.706857806431778,no
462,P1762,0.4217527540301821,0.3684774535171077,no
463,P1763,0.8422556601892894,0.5650493639773828,no
464,P1766,0.15541127202451033,0.26456536923206,no
465,P1767,0.5933754048785742,0.676078212926698,no
466,P1770,5.555554327685286e-08,0.0,no
467,P1771,0.6329561052457326,0.7368126695493955,no
468,P1772,0.27214034660115405,0.1891719769230522,no
469,P1773,0.832319014086961,0.8233022082984833,no
470,P1774,0.8469108186013063,0.7910827662933959,no
471,P1775,0.0,0.0,no
472,P1777,0.0,0.0,no
473,P1778,0.8740845829610911,0.7534868416123467,no
474,P1779,0.6980745734357214,0.6763400773987035,no
475,P1780,0.914519067047693,0.6116739967865777,no
476,P1781,0.6077870504887817,0.4899713022565051,no
477,P1782,0.8269605737048189,0.8388467922903192,no
478,P1783,2.499999918192941e-08,5.517240675434465e-08,no
479,P1785,0.0,0.0,no
480,P1786,0.5511789042202471,0.6460904812246813,no
481,P1787,0.8074476243653876,0.7545975033056482,no
482,P1788,0.34148849584685737,0.44265328459888187,no
483,P1789,0.6501451985356237,0.45581334279534225,no
484,P1790,0.7796700285903937,0.5611446046175574,no
485,P1791,0.9113440016987711,0.7721230993156311,no
486,P1792,0.9030624963530784,0.8155464033060078,no
487,P1793,0.40608527215004464,0.5232740150736445,no
488,P1794,0.006231022408057285,0.004465474842514694,no
489,P1798,0.0,0.0,no
490,P1799,0.0,0.0,no
491,P1800,0.3300036003731963,0.39120119357656125,no
492,P1801,0.39733519855735455,0.008304137576388149,no
493,P1802,0.0,0.0,no
494,P1805,0.8436881562026146,0.7947097056403338,yes
495,P1806,0.8635781680738771,0.846707645907133,no
